URL,최종 크롤링,상태
https://nomadthai.kr/suwon,2025-10-06,접수중
https://nomadthai.kr/,2025-11-16,실패함
https://nomadthai.kr/gwangju,2025-11-07,실패함
https://nomadthai.kr/uiwang,2025-11-05,실패함
https://nomadthai.kr/icheon,2025-11-01,실패함
https://nomadthai.kr/blog,2025-10-20,실패함
https://nomadthai.kr/gunpo,2025-10-20,실패함
https://nomadthai.kr/hanam,2025-10-18,실패함
https://nomadthai.kr/yongin,2025-10-14,실패함
https://nomadthai.kr/yeoju,2025-10-14,실패함
https://nomadthai.kr/anyang,2025-10-13,실패함
https://nomadthai.kr/seongnam,2025-10-13,실패함
